pi,ti,ci,zi,ni,div,div2,pos_min,min_ac,1st_min
0,16,1,2,0,0.06040354693412125,0.06529112458742635,0.9916666666666667,0.9700499079784982,0.3458333333333333
0,16,1,2,1,0.1169344781011853,0.008840688832074449,0.3879310344827586,0.9773187434717528,0.1939655172413793
0,16,1,2,2,0.14356170444940153,0.17523741514385976,0.9915254237288136,0.9288274600822882,0.4957627118644068
0,16,1,2,3,0.09454549020393288,0.09780766588828795,0.9915966386554622,0.9531245048568736,0.4957983193277311
0,17,1,0,0,0.07234023030396029,0.06918907060943459,0.9916666666666667,0.9641313024742864,0.37916666666666665
0,17,1,0,1,0.1374332984800006,0.014084103957763223,0.3793103448275862,0.9739350640813792,0.1896551724137931
0,17,1,0,2,0.14788904711012074,0.17641720589221815,0.9915254237288136,0.9266821249496435,0.4957627118644068
0,17,1,0,3,0.11237710225345429,0.10639499181320212,0.9915966386554622,0.9442836215718168,0.35714285714285715
0,17,1,1,0,0.06628648918961072,0.066963940678016,0.9916666666666667,0.9671329491101514,0.35833333333333334
0,17,1,1,1,0.12813186745977917,0.013584426906992398,0.3879310344827586,0.9751468360530601,0.1939655172413793
0,17,1,1,2,0.14642374161730617,0.17678180033014124,0.9915254237288136,0.9274085687744711,0.4957627118644068
0,17,1,1,3,0.10655468264493644,0.10523689256446167,0.9915966386554622,0.9471703674281408,0.3739495798319328
0,17,1,2,0,0.07818384823381389,0.05764775339502309,0.6833333333333333,0.9732871851867803,0.3416666666666667
0,17,1,2,1,0.10889701768770685,0.01161525189074906,0.4051724137931034,0.9779389662443008,0.2025862068965517
0,17,1,2,2,0.14723638542802506,0.17996662435596458,0.9915254237288136,0.9270056902750893,0.4957627118644068
0,17,1,2,3,0.09418361493408405,0.09888022490942976,0.9915966386554622,0.9533039220074709,0.4957983193277311
0,18,1,0,0,0.09514578698185144,0.06374838178189783,0.6583333333333333,0.9686811784518072,0.32916666666666666
0,18,1,0,1,0.14809000055323995,0.016168215620503072,0.3706896551724138,0.9725522843802185,0.1853448275862069
0,18,1,0,2,0.154297288037043,0.1844648678251154,0.9830508474576272,0.9241589601173856,0.4915254237288136
