pi,ti,zi,ni,n1,n2,ns1,ns2,Nsecs,xpos
2,3,0,2,289,0,0,1,1,0,288
2,4,0,0,283,0,0,1,1,0,282
2,4,0,1,281,0,0,1,1,0,280
2,4,0,2,289,0,0,1,1,0,288
2,5,0,0,283,0,0,1,1,0,282
2,5,0,1,281,0,0,1,1,0,280
2,5,0,2,289,0,0,1,1,0,288
2,6,0,0,283,0,0,1,1,0,282
2,6,0,1,281,0,0,1,1,0,280
2,6,0,2,289,0,0,1,1,0,288
2,7,0,0,283,0,0,1,1,0,282
2,7,0,1,281,0,0,1,1,0,280
2,7,0,2,289,0,0,1,1,0,288
2,8,0,0,283,0,0,1,1,0,282
2,8,0,1,281,0,0,1,1,0,280
2,8,0,2,289,0,0,1,1,0,288
2,9,0,0,283,0,0,1,1,0,282
2,9,0,1,281,0,0,1,1,0,280
2,9,0,2,289,0,0,1,1,0,288
2,10,0,0,283,0,0,1,1,0,282
2,10,0,1,281,0,0,1,1,0,280
2,10,0,2,289,0,0,1,1,0,288
2,11,0,0,283,0,0,1,1,0,282
2,11,0,1,281,0,0,1,1,0,280
2,11,0,2,289,0,0,1,1,0,288
2,12,0,0,283,0,0,1,1,0,282
2,12,0,1,281,0,0,1,1,0,280
2,12,0,2,289,0,0,1,1,0,288
2,13,0,0,283,0,0,1,1,0,282
2,13,0,1,281,0,0,1,1,0,280
2,13,0,2,289,0,0,1,1,0,288
2,14,0,0,283,0,0,1,1,0,282
2,14,0,1,281,0,0,1,1,0,280
2,14,0,2,289,0,0,1,1,0,288
2,15,0,0,283,0,0,1,1,0,282
2,15,0,1,281,0,0,1,1,0,280
2,15,0,2,289,0,0,1,1,0,288
2,16,0,0,283,0,0,1,1,0,282
2,16,0,1,281,0,0,1,1,0,280
2,16,0,2,289,0,0,1,1,0,288
2,17,0,0,283,0,0,1,1,0,282
2,17,0,1,281,0,0,1,1,0,280
2,17,0,2,289,0,0,1,1,0,288
2,18,0,0,283,0,0,1,1,0,282
2,18,0,1,281,0,0,1,1,0,280
2,18,0,2,289,0,0,1,1,0,288
2,19,0,0,283,0,0,1,1,0,282
2,19,0,1,281,0,0,1,1,0,280
2,19,0,2,289,0,0,1,1,0,288
2,20,0,0,283,0,0,1,1,0,282
2,20,0,1,281,0,0,1,1,0,280
